SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,NPOPCHG_2024,PPOPCHG_2020,PPOPCHG_2021,PPOPCHG_2022,PPOPCHG_2023,PPOPCHG_2024,NRANK_ESTBASE2020,NRANK_POPEST2020,NRANK_POPEST2021,NRANK_POPEST2022,NRANK_POPEST2023,NRANK_POPEST2024,NRANK_NPCHG2020,NRANK_NPCHG2021,NRANK_NPCHG2022,NRANK_NPCHG2023,NRANK_NPCHG2024,NRANK_PPCHG2020,NRANK_PPCHG2021,NRANK_PPCHG2022,NRANK_PPCHG2023,NRANK_PPCHG2024
030,3,7,00,West South Central,40778290,40871832,41217430,41781108,42449306,43072318,93542,345598,563678,668198,623012,0.229391669,0.845565229,1.367571923,1.599282623,1.467661215,5,5,5,5,4,4,1,2,2,2,2,2,2,2,1,1
020,4,0,00,West Region,78617523,78685455,78606386,78916578,79328169,80015776,67932,-79069,310192,411591,687607,0.086408217,-0.100487441,0.394614249,0.521552012,0.866787938,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
030,4,8,00,Mountain,24928392,25008240,25284332,25557868,25840606,26167683,79848,276092,273536,282738,327077,0.320309469,1.10400412,1.081839932,1.106265984,1.265748179,6,6,6,6,6,6,2,3,3,3,4,1,1,3,3,3
030,4,9,00,Pacific,53689131,53677215,53322054,53358710,53487563,53848093,-11916,-355161,36656,128853,360530,-0.022194436,-0.661660632,0.068744539,0.241484474,0.674044544,2,2,2,2,2,2,6,9,7,7,3,6,9,7,9,8
040,3,6,01,Alabama,5025369,5033094,5049196,5076181,5117673,5157699,7725,16102,26985,41492,40026,0.153720055,0.319922497,0.534441523,0.817386141,0.782113277,24,24,24,24,24,24,13,20,15,16,24,15,23,21,19,23
040,4,9,02,Alaska,733395,733017,734420,734442,736510,740133,-378,1403,22,2068,3623,-0.05154112,0.191400745,0.002995561,0.281574311,0.49191457,48,48,48,48,48,48,35,33,40,46,47,36,29,40,41,40
040,4,8,04,Arizona,7158110,7187135,7274078,7377566,7473027,7582384,29025,86943,103488,95461,109357,0.405484129,1.209703171,1.42269577,1.293936239,1.463356147,14,14,14,14,14,14,3,4,5,6,8,2,5,8,9,10
040,3,7,05,Arkansas,3011553,3014546,3026870,3047704,3069463,3088354,2993,12324,20834,21759,18891,0.099383939,0.408817779,0.688301777,0.713947286,0.615449673,33,33,33,33,33,33,21,23,20,30,33,20,20,17,22,32
040,4,9,06,California,39555674,39521958,39142565,39142414,39198693,39431263,-33716,-379393,-151,56279,232570,-0.085236823,-0.95995497,-0.000385769,0.143780095,0.593310598,1,1,1,1,1,1,49,51,41,10,3,41,50,41,46,34
040,4,8,08,Colorado,5775324,5787129,5814036,5850935,5901339,5957493,11805,26907,36899,50404,56154,0.204404117,0.464945572,0.634653793,0.86146915,0.951546759,21,21,21,21,21,21,9,11,11,13,19,11,19,20,17,17
040,1,1,09,Connecticut,3607701,3579918,3606607,3617925,3643023,3675069,-27783,26689,11318,25098,32046,-0.770102622,0.745519869,0.313812955,0.693712556,0.879654068,29,29,29,29,29,29,48,13,27,28,27,50,13,28,24,19
040,3,5,10,Delaware,989955,991928,1005062,1020625,1036423,1051917,1973,13134,15563,15798,15494,0.199301989,1.324088039,1.548461687,1.547875077,1.494949456,45,45,45,45,45,45,23,22,22,32,36,12,4,5,6,9
